target,feature,importance_mean,importance_std
tension_strength,layer_height,0.22645734086935368,0.044402481592233034
tension_strength,wall_thickness,0.22462647686305623,0.038515729876248565
tension_strength,infill_density,0.4072393457336239,0.06436173010539059
tension_strength,nozzle_temperature,0.33287242294938013,0.05960443262590675
tension_strength,bed_temperature,0.03537077570297326,0.006345856805322043
tension_strength,print_speed,0.07553256841164482,0.014531773999795342
tension_strength,fan_speed,0.030865349427992197,0.005042891190995304
tension_strength,infill_pattern_honeycomb,0.01002545277211518,0.0028736983622454177
tension_strength,material_pla,0.03524070531359735,0.007827777821979817
elongation,layer_height,0.5409690133169277,0.09120050500056288
elongation,wall_thickness,0.09653447286475077,0.017520734509261893
elongation,infill_density,0.16577663900109632,0.03057927827431285
elongation,nozzle_temperature,0.6062986096026937,0.0960862915945605
elongation,bed_temperature,0.0183246455230735,0.003400381082552032
elongation,print_speed,0.0642451438147303,0.014466674212633519
elongation,fan_speed,0.029922538694219746,0.00526394308578099
elongation,infill_pattern_honeycomb,0.0024832062378582005,0.0005768561947539149
elongation,material_pla,0.03484869779283459,0.006519641103938872
roughness,layer_height,1.3943768147789604,0.17544965404132637
roughness,wall_thickness,0.01284202809859929,0.0023676979438748127
roughness,infill_density,0.019764649176168506,0.004134841723439228
roughness,nozzle_temperature,0.4281643786068052,0.08104280755669283
roughness,bed_temperature,0.004949332202693154,0.0012507412756198254
roughness,print_speed,0.08891226689672305,0.010344676332122205
roughness,fan_speed,0.004239887261653744,0.0011113782052785347
roughness,infill_pattern_honeycomb,0.0011766533370009102,0.0005133693870568426
roughness,material_pla,0.0033682176306759994,0.001295534022690838
