target_nu12,target_E1_Es,analytical_theta_deg,analytical_hl_ratio,analytical_tl_ratio,analytical_predicted_nu12,analytical_predicted_E1_Es,analytical_predicted_rel_density,analytical_source,surrogate_theta_deg,surrogate_hl_ratio,surrogate_tl_ratio,surrogate_predicted_nu12,surrogate_predicted_E1_Es,surrogate_predicted_rel_density,surrogate_source
-0.3,,-71.17647058823529,1.3135593220338984,0.02,-0.2996612377958191,7.849727625897486e-06,0.2797955406677472,analytical_grid_search,,,,,,,
-0.3,,,,,,,,,-62.20338983050847,1.6923076923076923,0.09846153846153848,-0.3000241942856458,0.0006556253528861078,0.4826002359787346,random_forest_surrogate_search
-1.0,0.01,-33.36134453781513,1.8220338983050848,0.1664406779661017,-0.997186665647591,0.010010529578390681,0.2993620348301046,analytical_grid_search,,,,,,,
-1.0,0.01,,,,,,,,-43.13559322033898,1.4615384615384617,0.1723076923076923,-0.9936333770134852,0.009993148146463625,0.5254154698049237,random_forest_surrogate_search
-0.15,0.005,-62.983193277310924,1.8474576271186443,0.2,-0.24213311464910708,0.004786648404776057,0.8854293118077712,analytical_grid_search,,,,,,,
-0.15,0.005,,,,,,,,-68.55932203389831,2.0,0.19076923076923077,-0.14892617709801997,0.005025723137717391,0.976215682026025,random_forest_surrogate_search
