target,feature,importance_mean,importance_std
E1_Es,theta_deg,1.579868173275276,0.14797645837372114
E1_Es,hl_ratio,0.056433104682474276,0.005808604094903003
E1_Es,tl_ratio,0.7083556858146092,0.08121663288507162
E1_Es,rel_density,0.12208547222162364,0.029650496234167777
E2_Es,theta_deg,0.8379991938905264,0.058898746299029726
E2_Es,hl_ratio,0.27685965002074775,0.024508262711666597
E2_Es,tl_ratio,1.4554349069959678,0.11901632779600078
E2_Es,rel_density,0.049802971798688464,0.0059619580385014736
nu12,theta_deg,0.7386146887999491,0.02792962106409512
nu12,hl_ratio,1.2182433665323364,0.066585760389493
nu12,tl_ratio,-5.7210459909244155e-05,0.00011566669074253569
nu12,rel_density,-0.00037356353569363657,0.000154976987297366
nu21,theta_deg,1.505949220967009,0.10855594687872515
nu21,hl_ratio,0.3911062721855183,0.03453147367987058
nu21,tl_ratio,-0.00020350092697129322,0.0003563237213344807
nu21,rel_density,-0.00017561777677008728,0.00018804063149973583
