theta_deg,hl_ratio,tl_ratio,E1_Es,E2_Es,nu12,nu21,rel_density
-21.95329635830275,1.5741499559881207,0.12067784005761373,0.00971640009475158,0.00264390570645007,-1.917033550657325,-0.5216392794258157,0.19371892103134358
-15.605156006646311,1.7778017836198166,0.07005052442920717,0.003032263979077426,0.0005804949519063373,-2.2855160725445005,-0.43753794252983946,0.09105453090581948
-27.697397820547707,0.8614657403946759,0.02467596079038095,0.00015524249359518972,8.58627238726198e-06,-4.252095148856136,-0.23517818040102226,0.10052248024213545
-6.828323627243307,0.7762088257237737,0.14642797879495495,0.33549185339002424,0.002108237646030181,-12.61482433924363,-0.07927181331325292,0.31143312627683367
-22.91452235072353,1.2429509245787629,0.11818849622135487,0.011751089531419552,0.0018033296323919912,-2.5527101666285366,-0.39174051683303274,0.24374401147591496
-21.045177104228465,0.7286997634675794,0.1667616913512583,0.09081165532364407,0.0021084121417917173,-6.562858517121426,-0.1523726280844183,0.659591240017007
-46.22105465783247,1.4183350655630236,0.1258225954432713,0.0037966826901969855,0.004187904319681961,-0.9521465008138914,-1.0502585465001486,0.4463798768067077
-10.492625836354861,0.758550839846371,0.14954815057111892,0.17202889553556033,0.0020280059182041215,-9.210137025085473,-0.10857601762887123,0.36391507866857864
-31.71011599395016,1.8946523752026097,0.1418375677092732,0.006417999001909021,0.006344970361330523,-1.0057383803896875,-0.9942943607387599,0.2371543338137862
-18.292879004687755,0.5645048761100766,0.08505592266055619,0.023661740255577567,0.0001801819481072998,-11.459553651594078,-0.08726343367316887,0.45831659179823725
-46.74393508795016,1.3477221690438308,0.02040654414800138,1.7723815867911404e-05,1.6357989282487048e-05,-1.040911136763522,-0.9606968017551182,0.0804721488912028
-62.957095866141735,1.322395762749898,0.06336968130095205,0.000337821489254199,0.0011689688706699416,-0.5375788364812166,-1.8601922771841495,0.5362987583006864
-17.927662100556347,0.6316066746239533,0.07958398606941695,0.015631996017787756,0.00018949121895513337,-9.082651968877654,-0.11010000200674543,0.3399133668633751
-32.62517006584514,1.5819052188858285,0.132604935416919,0.0064790560236622574,0.004070008942193462,-1.2617060510882172,-0.7925776365560768,0.270417186217895
